institute_name,institute_type,city,state,city_tier,total_fee_4yr,total_fee_5yr,hostel_available,campus_area,infra_rating
IIITT,IIIT,Tiruchirappalli,Tamil Nadu,2,1067000.0,,Y,62,4.6
IIITDWD,IIIT,Dharwad,Karnataka,3,1630000.0,,Y,60,4.5
IIITU,IIIT,Una,Himachal Pradesh,3,1227000.0,,Y,80,4.3
IIIT Sonepat,IIIT,Sonepat,Haryana,2,821000.0,,N,under construction,4.3
IIIT Kalyani,IIIT,Kalyani,West Bengal,3,912000.0,,N,under construction,4.4
IIITL,IIIT,Lucknow,Uttar Pradesh,2,979000.0,,Y,50,4.4
IIITDM Kurnool,IIIT,Kurnool,Andhra Pradesh,3,913000.0,972000.0,Y,151,4.5
IIIT Kottayam,IIIT,Kottayam,Kerala,3,1162000.0,,Y,53,4.5
IIITM,IIIT,Imphal,Manipur,3,1197000.0,,N,under construction,4.2
IIITN,IIIT,Nagpur,Maharashtra,2,1184000.0,,Y,100,4.3
IIITP,IIIT,Pune,Maharashtra,1,1200000.0,,N,under construction,4.4
IIIT Ranchi,IIIT,Ranchi,Jharkhand,2,1405000.0,,N,under construction,4.2
IIIT Surat,IIIT,Surat,Gujarat,1,937000.0,,N,28.71,4.3
IIIT Bhopal,IIIT,Bhopal,Madhya Pradesh,2,720000.0,,N,under construction,4.3
IIIT Bhagalpur,IIIT,Bhagalpur,Bihar,3,1345000.0,,Y,50,4.3
IIIT Agartala,IIIT,Agartala,Tripura,3,811000.0,,N,under construction,4.3
IIIT Raichur,IIIT,Raichur,Karnataka,3,1093000.0,,N,under construction,4.4
IIIT VICD,IIIT,Diu,Diu,3,1234000.0,,Y,25,4.3
