Year,Institute,Academic Program Name,Program_Year,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round
2020.0,IIIT Kalyani,CSE (BTech),4,AI,OPEN,GN,10559.0,36362.0,6
2020.0,IIIT Kalyani,CSE (BTech),4,AI,OPEN (PwD),GN,1297.0,1693.0,6
2020.0,IIIT Kalyani,CSE (BTech),4,AI,EWS,GN,6045.0,6435.0,6
2020.0,IIIT Kalyani,CSE (BTech),4,AI,OBC-NCL,GN,10043.0,14063.0,6
2020.0,IIIT Kalyani,CSE (BTech),4,AI,SC,GN,4282.0,8988.0,6
2020.0,IIIT Kalyani,CSE (BTech),4,AI,ST,GN,3405.0,4431.0,6
2020.0,IIIT Sonepat,CSE (BTech),4,AI,OPEN,GN,9711.0,17628.0,6
2020.0,IIIT Sonepat,CSE (BTech),4,AI,EWS,GN,2900.0,3293.0,6
2020.0,IIIT Sonepat,CSE (BTech),4,AI,OBC-NCL,GN,5126.0,8053.0,6
2020.0,IIIT Sonepat,CSE (BTech),4,AI,OBC-NCL (PwD),GN,624.0,624.0,6
2020.0,IIIT Sonepat,CSE (BTech),4,AI,SC,GN,2011.0,5650.0,6
2020.0,IIIT Sonepat,CSE (BTech),4,AI,ST,GN,2847.0,3732.0,6
2020.0,IIIT Sonepat,IT (BTech),4,AI,OPEN,GN,17675.0,22358.0,6
2020.0,IIIT Sonepat,IT (BTech),4,AI,OPEN (PwD),GN,2186.0,2186.0,6
2020.0,IIIT Sonepat,IT (BTech),4,AI,EWS,GN,3589.0,3953.0,6
2020.0,IIIT Sonepat,IT (BTech),4,AI,OBC-NCL,GN,6153.0,10064.0,6
2020.0,IIIT Sonepat,IT (BTech),4,AI,SC,GN,5651.0,7106.0,6
2020.0,IIIT Sonepat,IT (BTech),4,AI,ST,GN,3846.0,4795.0,6
2020.0,IIITU,CSE (BTech),4,AI,OPEN,GN,22660.0,30776.0,6
2020.0,IIITU,CSE (BTech),4,AI,OPEN (PwD),GN,943.0,943.0,6
2020.0,IIITU,CSE (BTech),4,AI,EWS,GN,5065.0,6172.0,6
