institute_name,institute_type,city,state,city_tier,total_fee_4yr,total_fee_5yr,hostel_available,campus_area,infra_rating,campus_status,offers_5yr_program
IIITG,IIIT,Guwahati,Assam,2,1343000,0.0,True,67.0,4.5,Available,False
IIITV,IIIT,Vadodara,Gujarat,2,1580000,0.0,False,0.0,4.4,Under Construction,False
IIIT Kota,IIIT,Kota,Rajasthan,2,1063000,0.0,True,100.37,4.3,Available,False
IIITT,IIIT,Tiruchirappalli,Tamil Nadu,2,1067000,0.0,True,62.0,4.6,Available,False
IIITDWD,IIIT,Dharwad,Karnataka,3,1630000,0.0,True,60.0,4.5,Available,False
IIITU,IIIT,Una,Himachal Pradesh,3,1227000,0.0,True,80.0,4.3,Available,False
IIIT Sonepat,IIIT,Sonepat,Haryana,2,821000,0.0,False,0.0,4.3,Under Construction,False
IIIT Kalyani,IIIT,Kalyani,West Bengal,3,912000,0.0,False,0.0,4.4,Under Construction,False
IIITL,IIIT,Lucknow,Uttar Pradesh,2,979000,0.0,True,50.0,4.4,Available,False
IIITDM Kurnool,IIIT,Kurnool,Andhra Pradesh,3,913000,972000.0,True,151.0,4.5,Available,True
IIIT Kottayam,IIIT,Kottayam,Kerala,3,1162000,0.0,True,53.0,4.5,Available,False
IIITM,IIIT,Imphal,Manipur,3,1197000,0.0,False,0.0,4.2,Under Construction,False
IIITN,IIIT,Nagpur,Maharashtra,2,1184000,0.0,True,100.0,4.3,Available,False
IIITP,IIIT,Pune,Maharashtra,1,1200000,0.0,False,0.0,4.4,Under Construction,False
IIIT Ranchi,IIIT,Ranchi,Jharkhand,2,1405000,0.0,False,0.0,4.2,Under Construction,False
IIIT Surat,IIIT,Surat,Gujarat,1,937000,0.0,False,28.71,4.3,Available,False
IIIT Bhopal,IIIT,Bhopal,Madhya Pradesh,2,720000,0.0,False,0.0,4.3,Under Construction,False
IIIT Bhagalpur,IIIT,Bhagalpur,Bihar,3,1345000,0.0,True,50.0,4.3,Available,False
IIIT Agartala,IIIT,Agartala,Tripura,3,811000,0.0,False,0.0,4.3,Under Construction,False
IIIT Raichur,IIIT,Raichur,Karnataka,3,1093000,0.0,False,0.0,4.4,Under Construction,False
IIIT VICD,IIIT,Diu,Diu,3,1234000,0.0,True,25.0,4.3,Available,False
