year,institute_name,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,institute_type,cse_vs_ece_gap
2023,ABV-IIITM Gwalior,24.31,22.2,24.31,IIIT,-2.1099999999999994
2023,IIIT Agartala,12.0,23.0,17.0,IIIT,6.0
2023,IIIT Allahabad,32.83,32.83,29.11,IIIT,3.719999999999999
2023,IIIT Bangalore,29.6,35.0,25.55,IIIT,9.45
2023,IIIT Bhagalpur,15.61,14.11,15.91,IIIT,-1.8000000000000007
2023,IIIT Bhopal,20.51,22.56,18.03,IIIT,4.529999999999998
2023,IIIT Bhubaneswar,11.0,13.0,9.0,IIIT,4.0
2023,IIIT Delhi,23.65,28.78,25.39,IIIT,3.3900000000000006
2023,IIIT Dharwad,11.52,11.97,11.43,IIIT,0.5400000000000009
2023,IIIT Guwahati,15.5,17.0,11.0,IIIT,6.0
2023,IIIT Hyderabad,23.43,32.2,27.24,IIIT,4.960000000000004
2023,IIIT Kalyani,12.76,12.76,12.76,IIIT,0.0
2023,IIIT Kota,14.6,15.76,11.31,IIIT,4.449999999999999
2023,IIIT Kottayam,14.32,14.32,14.32,IIIT,0.0
2023,IIIT Kurnool,10.79,10.79,9.08,IIIT,1.709999999999999
2023,IIIT Lucknow,30.52,30.52,30.52,IIIT,0.0
2023,IIIT Manipur,8.7,8.7,8.7,IIIT,0.0
2023,IIIT Nagpur,13.67,13.89,14.87,IIIT,-0.9799999999999986
2023,IIIT Naya Raipur,16.56,19.64,14.87,IIIT,4.770000000000001
2023,IIIT Pune,16.58,19.0,16.0,IIIT,3.0
2023,IIIT Raichur,18.0,18.0,17.01,IIIT,0.9899999999999984
2023,IIIT Ranchi,15.95,17.01,17.01,IIIT,0.0
2023,IIIT Sri City,20.3,20.7,17.01,IIIT,3.6899999999999977
2023,IIIT Surat,12.52,14.21,9.87,IIIT,4.340000000000002
2023,IIIT Una,14.0,12.0,13.8,IIIT,-1.8000000000000007
2023,IIIT Vadodara,15.43,15.43,11.34,IIIT,4.09
2023,IIITDM Jabalpur,21.63,25.08,23.48,IIIT,1.5999999999999979
2023,IIITDM Kancheepuram,8.8,12.95,11.36,IIIT,1.5899999999999999
2024,ABV-IIITM Gwalior,22.11,22.11,16.425,IIIT,5.684999999999999
2024,IIIT Agartala,10.9,17.0,10.9,IIIT,6.1
2024,IIIT Allahabad,25.78,25.78,25.48,IIIT,0.3000000000000007
2024,IIIT Bangalore,34.5,33.4,19.8,IIIT,13.599999999999998
2024,IIIT Bhagalpur,12.52,11.17,7.16,IIIT,4.01
2024,IIIT Bhopal,12.32,14.7,10.53,IIIT,4.17
2024,IIIT Bhubaneswar,8.81,9.0,8.0,IIIT,1.0
2024,IIIT Delhi,21.57,22.04,18.0,IIIT,4.039999999999999
2024,IIIT Dharwad,9.5,9.54,9.5,IIIT,0.03999999999999915
2024,IIIT Guwahati,14.88,15.26,13.1,IIIT,2.16
2024,IIIT Hyderabad,26.44,31.49,21.39,IIIT,10.099999999999998
2024,IIIT Kalyani,12.76,10.72,10.72,IIIT,0.0
2024,IIIT Kota,13.09,13.39,12.41,IIIT,0.9800000000000004
2024,IIIT Kottayam,12.66,12.66,12.66,IIIT,0.0
2024,IIIT Kurnool,8.2,8.2,8.2,IIIT,0.0
2024,IIIT Lucknow,29.8,29.85,22.36,IIIT,7.490000000000002
2024,IIIT Manipur,8.7,8.7,8.7,IIIT,0.0
2024,IIIT Nagpur,13.11,13.11,13.11,IIIT,0.0
2024,IIIT Naya Raipur,16.25,16.25,13.9,IIIT,2.3499999999999996
2024,IIIT Pune,13.6,13.25,11.84,IIIT,1.4100000000000001
2024,IIIT Raichur,15.0,12.14,12.14,IIIT,0.0
2024,IIIT Ranchi,12.14,12.14,12.14,IIIT,0.0
2024,IIIT Sri City,14.2,14.5,12.4,IIIT,2.0999999999999996
2024,IIIT Surat,12.92,13.75,12.03,IIIT,1.7200000000000006
2024,IIIT Una,9.36,10.44,8.49,IIIT,1.9499999999999993
2024,IIIT Vadodara,11.34,11.34,12.0,IIIT,-0.6600000000000001
2024,IIITDM Jabalpur,19.27,19.27,21.49,IIIT,-2.219999999999999
2024,IIITDM Kancheepuram,9.75,13.86,11.91,IIIT,1.9499999999999993
