year,institute_name,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,ee_avg_ctc,me_avg_ctc
2024,IIT Gandhinagar,18.2,27.73,23.54,23.54,15.52
2024,IIT Goa,15.92,15.92,15.92,15.92,12.37
2024,IIT Guwahati,25.75,39.91,27.3,25.93,18.19
2024,IIT Hyderabad,22.5,22.5,22.5,26.11,22.5
2024,IIT Indore,25.45,30.89,26.04,26.04,22.17
2024,IIT Jammu,17.0,19.0,15.0,15.0,14.2
2024,IIT Jodhpur,21.3,26.31,22.0,22.0,19.5
2024,IIT Kanpur,26.27,52.8,27.6,27.6,26.27
2024,IIT Kharagpur,24.0,24.0,21.0,21.0,20.43
2024,IIT Madras,17.0,52.32,27.28,27.28,18.5
2024,IIT Mandi,22.38,26.55,17.75,17.75,13.36
2024,IIT Palakkad,19.76,19.09,11.58,15.88,11.8
2024,IIT Patna,17.0,17.0,17.0,17.0,17.0
2024,IIT Roorkee,20.0,34.07,23.52,22.1,19.56
2024,IIT Ropar,22.09,22.09,22.09,22.09,22.09
2024,IIT Tirupati,10.57,25.25,16.65,16.65,10.95
2024,IIT Varanasi,22.56,34.87,27.47,24.81,19.03
