year,institute_name,institute_type,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,cse_vs_ece_gap,ee_avg_ctc,me_avg_ctc,civil_avg_ctc,chemical_avg_ctc
2022,IIIT Pune,IIIT,16.83,12.95,16.83,-3.879999999999999,,,,
2022,IIIT Raichur,IIIT,22.5,10.8,22.5,-11.7,,,,
2022,IIIT Ranchi,IIIT,12.8,10.14,12.8,-2.66,,,,
2022,IIIT Sri City,IIIT,14.0,13.2,9.48,3.719999999999999,,,,
2022,IIIT Surat,IIIT,12.1,12.7,13.52,-0.8200000000000003,,,,
2022,IIIT Una,IIIT,12.1,9.24,11.0,-1.7599999999999998,,,,
2022,IIIT Vadodara,IIIT,14.08,10.44,14.08,-3.640000000000001,,,,
2022,IIITDM Jabalpur,IIIT,14.81,16.27,14.46,1.8099999999999987,,,,
2022,IIITDM Kancheepuram,IIIT,10.2,11.6,11.36,0.2400000000000002,,,,
2023,ABV-IIITM Gwalior,IIIT,24.31,22.2,24.31,-2.109999999999999,,,,
2023,IIIT Agartala,IIIT,12.0,23.0,17.0,6.0,,,,
2023,IIIT Allahabad,IIIT,32.83,32.83,29.11,3.719999999999999,,,,
2023,IIIT Bangalore,IIIT,29.6,35.0,25.55,9.45,,,,
2023,IIIT Bhagalpur,IIIT,15.61,14.11,15.91,-1.8000000000000007,,,,
2023,IIIT Bhopal,IIIT,20.51,22.56,18.03,4.529999999999998,,,,
2023,IIIT Bhubaneswar,IIIT,11.0,13.0,9.0,4.0,,,,
2023,IIIT Delhi,IIIT,23.65,28.78,25.39,3.390000000000001,,,,
2023,IIIT Dharwad,IIIT,11.52,11.97,11.43,0.5400000000000009,,,,
2023,IIIT Guwahati,IIIT,15.5,17.0,11.0,6.0,,,,
2023,IIIT Hyderabad,IIIT,23.43,32.2,27.24,4.960000000000004,,,,
2023,IIIT Kalyani,IIIT,12.76,12.76,12.76,0.0,,,,
2023,IIIT Kota,IIIT,14.6,15.76,11.31,4.449999999999999,,,,
2023,IIIT Kottayam,IIIT,14.32,14.32,14.32,0.0,,,,
2023,IIIT Kurnool,IIIT,10.79,10.79,9.08,1.709999999999999,,,,
2023,IIIT Lucknow,IIIT,30.52,30.52,30.52,0.0,,,,
2023,IIIT Manipur,IIIT,8.7,8.7,8.7,0.0,,,,
2023,IIIT Nagpur,IIIT,13.67,13.89,14.87,-0.9799999999999986,,,,
2023,IIIT Naya Raipur,IIIT,16.56,19.64,14.87,4.770000000000001,,,,
2023,IIIT Pune,IIIT,16.58,19.0,16.0,3.0,,,,
2023,IIIT Raichur,IIIT,18.0,18.0,17.01,0.9899999999999984,,,,
2023,IIIT Ranchi,IIIT,15.95,17.01,17.01,0.0,,,,
2023,IIIT Sri City,IIIT,20.3,20.7,17.01,3.6899999999999977,,,,
2023,IIIT Surat,IIIT,12.52,14.21,9.87,4.340000000000002,,,,
2023,IIIT Una,IIIT,14.0,12.0,13.8,-1.8000000000000007,,,,
2023,IIIT Vadodara,IIIT,15.43,15.43,11.34,4.09,,,,
2023,IIITDM Jabalpur,IIIT,21.63,25.08,23.48,1.599999999999998,,,,
2023,IIITDM Kancheepuram,IIIT,8.8,12.95,11.36,1.59,,,,
2024,ABV-IIITM Gwalior,IIIT,22.11,22.11,16.425,5.684999999999999,,,,
2024,IIIT Agartala,IIIT,10.9,17.0,10.9,6.1,,,,
2024,IIIT Allahabad,IIIT,25.78,25.78,25.48,0.3000000000000007,,,,
2024,IIIT Bangalore,IIIT,34.5,33.4,19.8,13.599999999999998,,,,
2024,IIIT Bhagalpur,IIIT,12.52,11.17,7.16,4.01,,,,
2024,IIIT Bhopal,IIIT,12.32,14.7,10.53,4.17,,,,
2024,IIIT Bhubaneswar,IIIT,8.81,9.0,8.0,1.0,,,,
2024,IIIT Delhi,IIIT,21.57,22.04,18.0,4.039999999999999,,,,
2024,IIIT Dharwad,IIIT,9.5,9.54,9.5,0.0399999999999991,,,,
2024,IIIT Guwahati,IIIT,14.88,15.26,13.1,2.16,,,,
2024,IIIT Hyderabad,IIIT,26.44,31.49,21.39,10.099999999999998,,,,
2024,IIIT Kalyani,IIIT,12.76,10.72,10.72,0.0,,,,
2024,IIIT Kota,IIIT,13.09,13.39,12.41,0.9800000000000004,,,,
2024,IIIT Kottayam,IIIT,12.66,12.66,12.66,0.0,,,,
2024,IIIT Kurnool,IIIT,8.2,8.2,8.2,0.0,,,,
2024,IIIT Lucknow,IIIT,29.8,29.85,22.36,7.490000000000002,,,,
2024,IIIT Manipur,IIIT,8.7,8.7,8.7,0.0,,,,
2024,IIIT Nagpur,IIIT,13.11,13.11,13.11,0.0,,,,
2024,IIIT Naya Raipur,IIIT,16.25,16.25,13.9,2.3499999999999996,,,,
2024,IIIT Pune,IIIT,13.6,13.25,11.84,1.41,,,,
2024,IIIT Raichur,IIIT,15.0,12.14,12.14,0.0,,,,
2024,IIIT Ranchi,IIIT,12.14,12.14,12.14,0.0,,,,
2024,IIIT Sri City,IIIT,14.2,14.5,12.4,2.0999999999999996,,,,
2024,IIIT Surat,IIIT,12.92,13.75,12.03,1.7200000000000006,,,,
2024,IIIT Una,IIIT,9.36,10.44,8.49,1.9499999999999993,,,,
2024,IIIT Vadodara,IIIT,11.34,11.34,12.0,-0.6600000000000001,,,,
2024,IIITDM Jabalpur,IIIT,19.27,19.27,21.49,-2.219999999999999,,,,
2024,IIITDM Kancheepuram,IIIT,9.75,13.86,11.91,1.9499999999999993,,,,
2020,IIT Bhilai,IIT,11.3,11.82,12.0,-0.17999999999999972,11.21,7.51,,
2020,IIT Bhubaneswar,IIT,15.8,22.6,15.8,6.800000000000001,15.8,12.0,,
2020,IIT Bombay,IIT,20.08,20.08,17.91,2.169999999999998,20.08,20.65,,
2020,IIT Delhi,IIT,16.0,15.81,15.5,0.3100000000000005,16.0,15.0,,
2020,IIT Dhanbad,IIT,17.56,18.0,15.0,3.0,12.0,14.08,,
2020,IIT Dharwad,IIT,7.0,7.0,7.0,0.0,8.0,7.0,,
2020,IIT Gandhinagar,IIT,8.29,8.0,8.96,-0.9600000000000009,19.6,19.6,,
2020,IIT Goa,IIT,13.0,15.51,15.51,0.0,15.51,15.51,,
2020,IIT Guwahati,IIT,10.78,20.0,12.3,7.699999999999999,25.93,18.19,,
2020,IIT Hyderabad,IIT,22.07,25.69,26.82,-1.129999999999999,26.82,22.07,,
2020,IIT Indore,IIT,23.5,25.5,21.2,4.300000000000001,25.7,15.6,,
2020,IIT Jammu,IIT,12.28,12.2,12.28,-0.08000000000000007,12.2,12.28,,
2020,IIT Jodhpur,IIT,16.73,14.33,16.5,-2.17,20.0,14.0,,
2020,IIT Kanpur,IIT,11.02,11.02,11.02,0.0,27.6,7.5,,
2020,IIT Kharagpur,IIT,19.0,29.21,20.0,9.21,19.5,16.0,,
2020,IIT Madras,IIT,18.12,25.0,18.12,6.879999999999999,27.28,18.12,,
2020,IIT Mandi,IIT,24.78,15.0,19.92,-4.920000000000002,19.92,10.0,,
2020,IIT Palakkad,IIT,9.93,11.42,9.93,1.4900000000000002,15.88,9.93,,
2020,IIT Patna,IIT,14.76,14.0,14.0,0.0,14.76,14.76,,
2020,IIT Roorkee,IIT,16.0,18.0,15.5,2.5,13.12,10.33,,
2020,IIT Ropar,IIT,15.85,15.85,15.85,0.0,15.85,15.85,,
2020,IIT Tirupati,IIT,11.0,14.0,11.0,3.0,14.0,10.95,,
2020,IIT Varanasi,IIT,16.69,18.34,16.69,1.6499999999999986,22.77,16.69,,
2021,IIT Bhilai,IIT,12.0,14.72,10.37,4.350000000000001,10.37,6.96,,
2021,IIT Bhubaneswar,IIT,16.27,16.27,20.3,-4.030000000000001,19.4,12.0,,
2021,IIT Bombay,IIT,20.8,17.91,18.17,-0.26000000000000156,20.08,17.91,,
2021,IIT Delhi,IIT,17.6,17.81,17.6,0.2099999999999973,17.6,17.6,,
2021,IIT Dhanbad,IIT,10.0,19.72,15.0,4.719999999999999,19.72,14.08,,
2021,IIT Dharwad,IIT,10.0,21.3,8.0,13.3,12.63,12.63,,
2021,IIT Gandhinagar,IIT,9.0,15.35,15.0,0.34999999999999964,19.6,19.6,,
2021,IIT Goa,IIT,11.6,15.32,16.0,-0.6799999999999997,15.92,15.92,,
2021,IIT Guwahati,IIT,23.42,21.06,6.48,14.579999999999998,25.93,21.42,,
2021,IIT Hyderabad,IIT,15.41,20.32,24.0,-3.6799999999999997,26.1,22.5,,
2021,IIT Indore,IIT,23.5,23.5,21.2,2.3000000000000007,25.7,21.88,,
2021,IIT Jammu,IIT,12.2,11.36,11.36,0.0,11.36,14.2,,
2021,IIT Jodhpur,IIT,24.38,12.0,12.0,0.0,12.0,12.0,,
2021,IIT Kanpur,IIT,29.0,29.0,27.6,1.3999999999999986,27.6,19.7,,
2021,IIT Kharagpur,IIT,19.0,15.0,21.28,-6.280000000000001,21.14,15.0,,
2021,IIT Madras,IIT,20.58,52.32,18.43,33.89,27.28,18.5,,
2021,IIT Mandi,IIT,18.0,13.5,20.85,-7.350000000000001,20.85,13.36,,
2021,IIT Palakkad,IIT,11.42,11.42,11.42,0.0,15.88,11.42,,
2021,IIT Patna,IIT,16.7,17.13,17.13,0.0,14.76,12.62,,
2021,IIT Roorkee,IIT,40.0,16.0,23.52,-7.52,13.12,16.5,,
2021,IIT Ropar,IIT,14.56,15.85,22.09,-6.24,22.09,22.09,,
2021,IIT Tirupati,IIT,11.0,11.0,11.0,0.0,11.0,11.0,,
2021,IIT Varanasi,IIT,11.5,18.34,21.89,-3.5500000000000007,17.81,17.81,,
2022,IIT Bhilai,IIT,14.12,17.55,14.04,3.5100000000000016,14.04,10.15,,
2022,IIT Bhubaneswar,IIT,18.95,22.4,21.2,1.1999999999999993,20.94,10.34,,
2022,IIT Bombay,IIT,21.5,49.6,21.5,28.1,23.5,20.65,,
2022,IIT Delhi,IIT,20.5,24.45,20.5,3.9499999999999993,20.5,21.9,,
2022,IIT Dhanbad,IIT,17.3,19.72,15.0,4.719999999999999,21.0,17.56,,
2022,IIT Dharwad,IIT,15.17,18.53,12.56,5.970000000000001,12.56,15.17,,
2022,IIT Gandhinagar,IIT,15.35,15.35,14.17,1.1799999999999997,17.67,10.43,,
2022,IIT Goa,IIT,23.4,27.03,30.75,-3.719999999999999,30.75,12.28,,
2022,IIT Guwahati,IIT,26.27,30.0,25.93,4.07,25.93,19.0,,
2022,IIT Hyderabad,IIT,20.7,27.11,29.0,-1.8900000000000006,29.75,19.73,,
2022,IIT Indore,IIT,23.5,22.56,21.2,1.3599999999999994,25.7,16.62,,
2022,IIT Jammu,IIT,19.34,23.19,18.65,4.540000000000003,18.65,15.12,,
2022,IIT Jodhpur,IIT,24.0,28.0,14.0,14.0,20.0,12.0,,
2022,IIT Kanpur,IIT,29.7,42.89,29.57,13.32,33.04,25.18,,
2022,IIT Kharagpur,IIT,45.43,18.75,21.28,-2.530000000000001,21.14,13.5,,
2022,IIT Madras,IIT,17.0,52.32,21.0,31.32,27.28,18.5,,
2022,IIT Mandi,IIT,25.23,33.68,25.0,8.68,21.0,13.47,,
2022,IIT Palakkad,IIT,13.93,13.93,12.7,1.2300000000000004,12.7,10.33,,
2022,IIT Patna,IIT,28.26,28.26,28.86,-0.5999999999999979,33.04,18.22,,
2022,IIT Roorkee,IIT,16.8,17.0,23.52,-6.52,16.8,15.0,,
2022,IIT Ropar,IIT,20.24,20.24,22.09,-1.8500000000000014,30.75,20.24,,
2022,IIT Tirupati,IIT,15.54,24.94,15.54,9.400000000000002,14.1,15.54,,
2022,IIT Varanasi,IIT,21.89,21.89,27.5,-5.609999999999999,26.57,21.89,,
2023,IIT Bhilai,IIT,15.31,18.97,18.97,0.0,14.03,12.57,,
2023,IIT Bhubaneswar,IIT,17.16,23.21,19.25,3.960000000000001,19.05,12.57,,
2023,IIT Bombay,IIT,21.82,23.5,21.82,1.6799999999999997,23.5,22.7,,
2023,IIT Delhi,IIT,20.0,20.0,23.65,-3.6499999999999986,20.5,20.0,,
2023,IIT Dhanbad,IIT,15.66,27.29,24.02,3.2699999999999996,17.56,14.91,,
2023,IIT Dharwad,IIT,17.0,21.38,14.69,6.6899999999999995,14.69,9.44,,
2023,IIT Gandhinagar,IIT,19.6,29.29,19.6,9.689999999999998,17.88,23.25,,
2023,IIT Goa,IIT,17.19,21.52,16.99,4.530000000000001,16.99,14.76,,
2023,IIT Guwahati,IIT,25.75,41.0,11.0,30.0,27.3,11.89,,
2023,IIT Hyderabad,IIT,26.51,24.32,28.07,-3.75,27.54,20.73,,
2023,IIT Indore,IIT,25.45,32.6,25.7,6.900000000000002,25.7,23.5,,
2023,IIT Jammu,IIT,17.0,24.05,19.16,4.890000000000001,19.16,14.19,,
2023,IIT Jodhpur,IIT,16.0,23.0,22.0,1.0,22.0,19.0,,
2023,IIT Kanpur,IIT,26.27,52.8,18.14,34.66,33.04,28.7,,
2023,IIT Kharagpur,IIT,24.0,24.0,21.28,2.719999999999999,21.14,15.0,,
2023,IIT Madras,IIT,17.0,52.32,27.0,25.32,27.28,18.5,,
2023,IIT Mandi,IIT,22.0,34.46,22.38,12.080000000000002,24.58,13.36,,
2023,IIT Palakkad,IIT,13.95,21.16,11.58,9.58,12.7,11.6,,
2023,IIT Patna,IIT,20.0,24.56,11.42,13.139999999999999,33.04,24.56,,
2023,IIT Roorkee,IIT,18.34,18.34,18.34,0.0,18.34,18.34,,
2023,IIT Ropar,IIT,22.09,20.24,20.99,-0.75,23.12,20.99,,
2023,IIT Tirupati,IIT,25.25,25.25,16.51,8.739999999999998,16.51,12.3,,
2023,IIT Varanasi,IIT,22.77,21.04,22.77,-1.7300000000000004,26.57,22.77,,
2024,IIT Bhilai,IIT,13.09,18.97,18.97,0.0,12.26,9.64,,
2024,IIT Bhubaneswar,IIT,17.1,22.6,20.3,2.3000000000000007,19.4,12.0,,
2024,IIT Bombay,IIT,24.0,23.5,23.5,0.0,23.5,23.5,,
2024,IIT Delhi,IIT,21.9,36.9,23.65,13.25,25.0,20.0,,
2024,IIT Dhanbad,IIT,15.66,24.77,20.97,3.8000000000000007,17.58,14.08,,
2024,IIT Dharwad,IIT,12.63,17.41,12.63,4.779999999999999,13.97,12.63,,
2024,IIT Gandhinagar,IIT,18.2,27.73,23.54,4.190000000000001,23.54,15.52,,
2024,IIT Goa,IIT,15.92,15.92,15.92,0.0,15.92,12.37,,
2024,IIT Guwahati,IIT,25.75,39.91,27.3,12.609999999999996,25.93,18.19,,
2024,IIT Hyderabad,IIT,22.5,22.5,22.5,0.0,26.11,22.5,,
2024,IIT Indore,IIT,25.45,30.89,26.04,4.850000000000001,26.04,22.17,,
2024,IIT Jammu,IIT,17.0,19.0,15.0,4.0,15.0,14.2,,
