year,institute_name,institute_type,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,cse_vs_ece_gap,ee_avg_ctc,me_avg_ctc,civil_avg_ctc,chemical_avg_ctc
2021,NIT Mizoram,NIT,7.35,8.4,8.4,0.0,8.4,7.45,8.4,6.8
2021,NIT Nagaland,NIT,8.09,4.22,4.22,0.0,5.25,3.0,4.22,8.09
2021,NIT Patna,NIT,17.13,9.9,9.9,0.0,9.9,9.9,9.9,6.8
2021,NIT Puducherry,NIT,10.0,6.8,7.9,-1.1000000000000005,7.9,10.0,7.9,10.0
2021,NIT Raipur,NIT,10.8,10.8,12.93,-2.129999999999999,10.7,10.8,8.53,7.6
2021,NIT Rourkela,NIT,9.8,20.88,33.0,-12.120000000000001,14.82,9.8,10.5,9.36
2021,NIT Sikkim,NIT,7.11,10.24,8.79,1.450000000000001,10.0,7.5,7.11,7.11
2021,NIT Silchar,NIT,13.34,13.34,13.34,0.0,13.34,13.34,13.34,7.15
2021,NIT Srinagar,NIT,6.25,13.8,10.7,3.1000000000000014,9.42,9.2,8.67,6.25
2021,NIT Surathkal,NIT,21.33,21.33,16.25,5.079999999999998,16.25,18.26,16.25,16.25
2021,NIT Trichy,NIT,10.9,11.0,12.93,-1.9299999999999997,9.5,8.7,6.5,12.0
2021,NIT Uttarakhand,NIT,8.43,9.45,10.36,-0.9100000000000001,8.03,5.92,6.0,7.411179267802858
2021,NIT Warangal,NIT,13.0,13.0,9.4,3.5999999999999996,16.0,17.29,14.35,14.8
2021,VNIT Nagpur,NIT,10.0,11.94,15.5,-3.5600000000000005,11.16,10.11,7.37,8.73
2022,IIEST Shibpur,NIT,7.3,7.3,16.5,-9.2,7.2,7.84,5.75,6.417747171406983
2022,MNIT Jaipur,NIT,12.43,18.39,18.01,0.379999999999999,9.94,13.2,7.03,10.35
2022,MNNIT Allahabad,NIT,17.19,17.19,17.19,0.0,17.68,17.19,17.19,9.0
2022,NIT Agartala,NIT,14.71,14.71,13.83,0.8800000000000008,11.2,8.23,7.0,7.0
2022,NIT Andhra Pradesh,NIT,7.05,10.7,7.8,2.8999999999999995,7.5,6.8,5.9,8.13
2022,NIT Arunachal Pradesh,NIT,8.6,7.2,7.2,0.0,6.77,8.49,5.38,8.77
2022,NIT Calicut,NIT,12.58,20.55,12.11,8.440000000000001,12.11,12.6,8.09,10.68
2022,NIT Delhi,NIT,17.14,21.44,16.6,4.84,10.81,8.8,15.59,15.068518701084342
2022,NIT Durgapur,NIT,4.5,4.5,4.5,0.0,4.5,4.5,7.78,8.17
2022,NIT Goa,NIT,13.1,10.87,8.5,2.369999999999999,7.56,6.63,5.83,11.516779170607052
2022,NIT Hamirpur,NIT,7.54,7.54,7.54,0.0,7.54,7.54,9.9,10.42
2022,NIT Jalandhar,NIT,11.87,17.44,12.44,5.000000000000002,11.6,11.87,6.94,7.76
2022,NIT Jamshedpur,NIT,14.7,14.7,20.53,-5.830000000000002,14.7,14.7,12.63,10.2
2022,NIT Kurukshetra,NIT,13.89,17.63,11.8,5.829999999999998,10.49,8.72,7.94,12.211302494636026
2022,NIT Manipur,NIT,9.7,9.7,9.7,0.0,9.7,6.0,9.7,8.21
2022,NIT Meghalaya,NIT,13.33,15.5,9.7,5.800000000000001,9.15,9.7,6.16,11.71898216367878
2022,NIT Mizoram,NIT,7.35,8.4,8.4,0.0,8.68,7.35,8.4,6.8
2022,NIT Nagaland,NIT,8.09,8.09,4.22,3.87,8.09,8.09,8.09,8.09
2022,NIT Patna,NIT,13.7,14.95,13.0,1.9499999999999993,9.9,13.7,9.9,6.8
2022,NIT Puducherry,NIT,8.42,9.09,7.88,1.21,8.46,6.33,6.92,10.0
2022,NIT Raipur,NIT,10.1,15.86,10.8,5.059999999999999,10.8,10.8,8.53,7.6
2022,NIT Rourkela,NIT,11.15,18.31,19.04,-0.7300000000000004,13.62,9.8,10.5,11.15
2022,NIT Sikkim,NIT,8.44,10.24,8.79,1.450000000000001,7.83,6.69,4.7,7.11
2022,NIT Silchar,NIT,12.64,14.9,12.27,2.630000000000001,13.34,13.34,13.34,7.15
2022,NIT Srinagar,NIT,13.7,13.8,10.7,3.1000000000000014,9.42,9.2,7.5,6.25
2022,NIT Surathkal,NIT,15.84,23.03,16.25,6.780000000000001,16.25,18.26,15.84,16.25
2022,NIT Trichy,NIT,12.0,18.0,12.93,5.07,9.5,9.53,6.5,12.0
2022,NIT Uttarakhand,NIT,8.03,9.45,8.03,1.42,8.43,5.92,6.0,7.059521888547681
2022,NIT Warangal,NIT,25.5,25.5,18.9,6.600000000000001,22.0,17.29,8.93,14.8
2022,VNIT Nagpur,NIT,10.0,14.0,15.5,-1.5,15.5,10.11,10.0,8.73
2023,IIEST Shibpur,NIT,8.5,8.5,8.5,0.0,8.5,8.5,5.75,7.472719309172515
2023,MNIT Jaipur,NIT,13.2,21.0,13.2,7.800000000000001,15.66,13.2,8.5,10.35
2023,MNNIT Allahabad,NIT,20.34,20.34,20.31,0.030000000000001137,21.45,20.34,20.34,9.0
2023,NIT Agartala,NIT,14.71,14.71,13.83,0.8800000000000008,11.2,8.23,7.2,8.52
2023,NIT Andhra Pradesh,NIT,8.13,11.12,9.03,2.09,8.13,8.13,8.13,8.13
2023,NIT Arunachal Pradesh,NIT,9.04,10.13,10.4,-0.2699999999999996,8.1,11.3,9.92,8.77
2023,NIT Calicut,NIT,13.77,21.92,12.11,9.810000000000002,14.74,9.78,8.75,10.68
2023,NIT Delhi,NIT,17.72,18.32,16.25,2.0700000000000003,17.8,17.72,17.72,15.578421901004347
2023,NIT Durgapur,NIT,13.62,21.41,17.49,3.9200000000000017,14.55,9.78,7.34,9.12
2023,NIT Goa,NIT,11.45,13.4,12.45,0.9500000000000011,12.74,7.92,7.7,10.066192481179446
2023,NIT Hamirpur,NIT,8.25,12.84,8.25,4.59,8.25,8.25,8.25,10.42
2023,NIT Jalandhar,NIT,12.44,16.74,16.67,0.06999999999999673,12.44,12.44,12.44,8.45
2023,NIT Jamshedpur,NIT,15.98,12.63,22.03,-9.4,17.98,12.63,9.57,10.2
2023,NIT Kurukshetra,NIT,14.16,14.16,14.16,0.0,14.16,14.16,14.16,12.448671225633271
2023,NIT Manipur,NIT,9.7,9.7,9.7,0.0,9.7,6.0,9.7,8.21
2023,NIT Meghalaya,NIT,11.1,14.53,10.07,4.459999999999999,11.1,10.08,9.33,9.758492274331166
2023,NIT Mizoram,NIT,7.0,13.02,8.24,4.779999999999999,8.89,9.65,7.5,6.8
2023,NIT Nagaland,NIT,11.02,11.02,11.02,0.0,11.02,11.02,11.02,8.09
2023,NIT Patna,NIT,13.3,8.93,6.7,2.2299999999999995,13.65,13.3,8.42,6.8
2023,NIT Puducherry,NIT,9.8,9.8,9.8,0.0,7.28,9.8,6.7,10.0
2023,NIT Raipur,NIT,13.75,13.8,10.8,3.0,11.38,9.66,10.02,8.8
2023,NIT Rourkela,NIT,15.74,12.56,19.89,-7.33,15.74,15.74,15.74,15.74
2023,NIT Sikkim,NIT,8.5,11.98,11.56,0.41999999999999993,8.22,7.6,6.98,7.11
2023,NIT Silchar,NIT,14.39,24.07,17.05,7.02,12.86,13.58,13.95,7.15
2023,NIT Srinagar,NIT,9.42,13.8,10.7,3.1000000000000014,9.42,9.2,8.67,8.46
2023,NIT Surathkal,NIT,18.26,29.23,13.2,16.03,18.62,18.26,11.93,16.25
2023,NIT Trichy,NIT,15.76,27.27,23.0,4.27,19.3,15.76,13.0,12.54
2023,NIT Uttarakhand,NIT,10.4,9.45,6.5,2.9499999999999993,8.43,8.5,7.38,9.143091860634604
2023,NIT Warangal,NIT,17.29,30.8,17.29,13.510000000000002,17.29,17.29,13.0,14.8
2023,VNIT Nagpur,NIT,12.14,15.87,12.14,3.7299999999999986,12.14,12.14,5.63,8.73
2024,IIEST Shibpur,NIT,10.15,8.5,8.5,0.0,8.5,8.5,5.75,8.92330599860012
2024,MNIT Jaipur,NIT,13.2,18.39,14.75,3.6400000000000006,9.94,9.93,7.82,10.35
2024,MNNIT Allahabad,NIT,19.48,28.38,20.56,7.82,20.36,10.61,9.43,11.35
2024,NIT Agartala,NIT,14.71,14.71,13.83,0.8800000000000008,11.2,8.23,7.2,8.52
2024,NIT Andhra Pradesh,NIT,7.22,7.22,7.22,0.0,7.22,8.0,7.22,8.13
2024,NIT Arunachal Pradesh,NIT,9.6,13.5,10.4,3.0999999999999996,7.2,8.1,9.92,8.77
2024,NIT Calicut,NIT,12.41,19.37,13.71,5.66,10.99,9.67,8.09,10.68
2024,NIT Delhi,NIT,15.59,18.0,13.12,4.880000000000001,15.59,15.59,15.59,13.705846356470529
2024,NIT Durgapur,NIT,7.35,21.45,17.49,3.960000000000001,14.61,7.35,7.39,8.87
2024,NIT Goa,NIT,7.69,9.95,8.5,1.4499999999999993,7.71,6.63,6.67,6.760613116180781
2024,NIT Hamirpur,NIT,10.05,15.68,8.37,7.3100000000000005,7.74,8.25,10.05,8.05
2024,NIT Jalandhar,NIT,11.47,14.61,10.53,4.08,11.91,7.91,12.68,7.45
2024,NIT Jamshedpur,NIT,9.5,20.24,15.65,4.589999999999998,14.78,9.3,8.08,8.22
2024,NIT Kurukshetra,NIT,12.68,19.7,14.09,5.609999999999999,12.68,12.68,12.68,11.147538922389115
2024,NIT Manipur,NIT,8.7,9.7,9.7,0.0,9.7,6.0,9.7,8.21
2024,NIT Meghalaya,NIT,9.7,9.7,9.7,0.0,5.56,9.7,9.7,8.527691446938045
2024,NIT Mizoram,NIT,7.02,7.02,7.02,0.0,7.02,7.02,7.02,6.8
2024,NIT Nagaland,NIT,4.22,7.0,4.22,2.7800000000000002,7.0,4.22,4.22,8.09
2024,NIT Patna,NIT,9.9,19.0,11.42,7.58,7.6,14.0,9.9,6.8
2024,NIT Puducherry,NIT,7.9,7.9,7.9,0.0,6.9,7.9,7.9,10.0
2024,NIT Raipur,NIT,10.8,14.61,10.8,3.8099999999999987,10.8,10.8,10.8,10.8
2024,NIT Rourkela,NIT,14.57,21.6,19.89,1.7100000000000009,13.62,12.2,10.5,12.39
2024,NIT Sikkim,NIT,13.76,13.76,12.57,1.1899999999999995,10.87,8.56,6.21,7.11
2024,NIT Silchar,NIT,13.34,14.9,13.34,1.5600000000000005,11.84,13.34,13.34,7.15
2024,NIT Srinagar,NIT,9.5,13.8,10.7,3.1000000000000014,9.42,9.2,8.6,8.46
2024,NIT Surathkal,NIT,16.25,23.24,20.89,2.349999999999998,13.7,16.25,16.25,13.17
2024,NIT Trichy,NIT,25.97,27.27,23.0,4.27,19.3,15.76,12.9,12.54
2024,NIT Uttarakhand,NIT,10.4,10.4,10.4,0.0,10.4,10.4,10.4,9.143091860634604
2024,NIT Warangal,NIT,15.6,29.67,20.58,9.090000000000003,16.71,13.59,9.14,12.54
2024,VNIT Nagpur,NIT,12.28,16.8,12.5,4.300000000000001,11.44,12.14,6.8,10.51
