year,institute_name,institute_type,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,cse_vs_ece_gap,ee_avg_ctc,me_avg_ctc,civil_avg_ctc,chemical_avg_ctc,city,state,city_tier,total_fee_4yr,total_fee_5yr,hostel_available,campus_area,infra_rating,campus_status,offers_5yr_program
2021,iiit guwahati,IIIT,10.13,11.59,6.48,5.109999999999999,,,,,Guwahati,Assam,2,1343000,0.0,True,67.0,4.5,Available,False
2021,iiit hyderabad,IIIT,20.32,30.0,24.0,6.0,,,,,Hyderabad,Telangana,1,1800000,2000000.0,True,66.0,4.7,Available,True
2021,iiit kalyani,IIIT,8.0,8.0,8.0,0.0,,,,,Kalyani,West Bengal,3,912000,0.0,False,0.0,4.4,Under Construction,False
2021,iiit kota,IIIT,10.6,13.09,13.09,0.0,,,,,Kota,Rajasthan,2,1063000,0.0,True,100.37,4.3,Available,False
2021,iiit kottayam,IIIT,9.07,9.07,9.07,0.0,,,,,Kottayam,Kerala,3,1162000,0.0,True,53.0,4.5,Available,False
2021,iiit kurnool,IIIT,7.64,7.64,8.3,-0.660000000000001,,,,,Kurnool,Andhra Pradesh,3,913000,972000.0,True,151.0,4.5,Available,True
2021,iiit lucknow,IIIT,18.65,18.65,18.65,0.0,,,,,Lucknow,Uttar Pradesh,2,979000,0.0,True,50.0,4.4,Available,False
2021,iiit manipur,IIIT,7.75,9.0,6.5,2.5,,,,,Imphal,Manipur,1,1197000,0.0,True,13.0,3.6,Available,False
2021,iiit nagpur,IIIT,8.44,8.44,13.11,-4.67,,,,,Nagpur,Maharashtra,2,1184000,0.0,True,100.0,4.3,Available,False
2021,iiit naya raipur,IIIT,8.0,16.25,13.9,2.3499999999999996,,,,,Naya Raipur,Chhattisgarh,2,653250,840000.0,True,50.0,4.3,Available,True
2021,iiit pune,IIIT,14.5,17.12,17.12,0.0,,,,,Pune,Maharashtra,1,1200000,0.0,False,0.0,4.4,Under Construction,False
